Fastq_file_prefix	ReadGroup_sample_RGSM	ReadGroup_id_RGID	ReadGroup_library_RGLB	ReadGroup_platform_RGPL	ReadGroup_platform_unit_RGPU	ReadGroup_SeqCentre_RGCN	ReadGroup_Desc_RGDS	ReadGroup_runDate_RGDT	QUAL	Pipeline	PE	bed_list	bed_type	email_bioinf	Fastq_dir	BAM_dir	pipeline_dir	sleep
L2-1	Halo_L2-1	Halo_L2-1.HaloPlex_molpath_panel.Illumina	HaloPlex_Iron_Panel	Illumina	M00675	Mol_path	Halo_Molpath_Panel_June2013	6/21/2013	STDFQ	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs/ngs_master_scripts/ngs_master_workflow.sh	1	Iron Regulation	region	aditi.gulati@nhs.net	/scratch/project/pipelines/DATA/NGS_DATA_FOR_BRC_PIPELINE/Haloplex/Haloplex 21-06-2013	/scratch/project/pipelines/ngs_testrun	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs	1m
L2-2	Halo_L2-2	Halo_L2-2.HaloPlex_molpath_panel.Illumina	HaloPlex_Iron_Panel	Illumina	M00675	Mol_path	Halo_Molpath_Panel_June2013	6/21/2013	STDFQ	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs/ngs_master_scripts/ngs_master_workflow.sh	1	Iron Regulation	region	aditi.gulati@nhs.net	/scratch/project/pipelines/DATA/NGS_DATA_FOR_BRC_PIPELINE/Haloplex/Haloplex 21-06-2013	/scratch/project/pipelines/ngs_testrun	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs	2m
L2-3	Halo_L2-3	Halo_L2-3.HaloPlex_molpath_panel.Illumina	HaloPlex_Iron_Panel	Illumina	M00675	Mol_path	Halo_Molpath_Panel_June2013	6/21/2013	STDFQ	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs/ngs_master_scripts/ngs_master_workflow.sh	1	Iron Regulation	region	aditi.gulati@nhs.net	/scratch/project/pipelines/DATA/NGS_DATA_FOR_BRC_PIPELINE/Haloplex/Haloplex 21-06-2013	/scratch/project/pipelines/ngs_testrun	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs	3m
L2-4	Halo_L2-4	Halo_L2-4.HaloPlex_molpath_panel.Illumina	HaloPlex_Iron_Panel	Illumina	M00675	Mol_path	Halo_Molpath_Panel_June2013	6/21/2013	STDFQ	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs/ngs_master_scripts/ngs_master_workflow.sh	1	Iron Regulation	region	aditi.gulati@nhs.net	/scratch/project/pipelines/DATA/NGS_DATA_FOR_BRC_PIPELINE/Haloplex/Haloplex 21-06-2013	/scratch/project/pipelines/ngs_testrun	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs	4m
L2-5	Halo_L2-5	Halo_L2-5.HaloPlex_molpath_panel.Illumina	HaloPlex_Iron_Panel	Illumina	M00675	Mol_path	Halo_Molpath_Panel_June2013	6/21/2013	STDFQ	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs/ngs_master_scripts/ngs_master_workflow.sh	1	Iron Regulation	region	aditi.gulati@nhs.net	/scratch/project/pipelines/DATA/NGS_DATA_FOR_BRC_PIPELINE/Haloplex/Haloplex 21-06-2013	/scratch/project/pipelines/ngs_testrun	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs	5m
L2-6	Halo_L2-6	Halo_L2-6.HaloPlex_molpath_panel.Illumina	HaloPlex_Iron_Panel	Illumina	M00675	Mol_path	Halo_Molpath_Panel_June2013	6/21/2013	STDFQ	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs/ngs_master_scripts/ngs_master_workflow.sh	1	Iron Regulation	region	aditi.gulati@nhs.net	/scratch/project/pipelines/DATA/NGS_DATA_FOR_BRC_PIPELINE/Haloplex/Haloplex 21-06-2013	/scratch/project/pipelines/ngs_testrun	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs	6m
L2-7	Halo_L2-7	Halo_L2-7.HaloPlex_molpath_panel.Illumina	HaloPlex_Iron_Panel	Illumina	M00675	Mol_path	Halo_Molpath_Panel_June2013	6/21/2013	STDFQ	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs/ngs_master_scripts/ngs_master_workflow.sh	1	Iron Regulation	region	aditi.gulati@nhs.net	/scratch/project/pipelines/DATA/NGS_DATA_FOR_BRC_PIPELINE/Haloplex/Haloplex 21-06-2013	/scratch/project/pipelines/ngs_testrun	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs	7m
L2-8	Halo_L2-8	Halo_L2-8.HaloPlex_molpath_panel.Illumina	HaloPlex_Iron_Panel	Illumina	M00675	Mol_path	Halo_Molpath_Panel_June2013	6/21/2013	STDFQ	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs/ngs_master_scripts/ngs_master_workflow.sh	1	Iron Regulation	region	aditi.gulati@nhs.net	/scratch/project/pipelines/DATA/NGS_DATA_FOR_BRC_PIPELINE/Haloplex/Haloplex 21-06-2013	/scratch/project/pipelines/ngs_testrun	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs	8m
L2-9	Halo_L2-9	Halo_L2-9.HaloPlex_molpath_panel.Illumina	HaloPlex_Iron_Panel	Illumina	M00675	Mol_path	Halo_Molpath_Panel_June2013	6/21/2013	STDFQ	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs/ngs_master_scripts/ngs_master_workflow.sh	1	Iron Regulation	region	aditi.gulati@nhs.net	/scratch/project/pipelines/DATA/NGS_DATA_FOR_BRC_PIPELINE/Haloplex/Haloplex 21-06-2013	/scratch/project/pipelines/ngs_testrun	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs	9m
L2-10	Halo_L2-10	Halo_L2-10.HaloPlex_molpath_panel.Illumina	HaloPlex_Iron_Panel	Illumina	M00675	Mol_path	Halo_Molpath_Panel_June2013	6/21/2013	STDFQ	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs/ngs_master_scripts/ngs_master_workflow.sh	1	Iron Regulation	region	aditi.gulati@nhs.net	/scratch/project/pipelines/DATA/NGS_DATA_FOR_BRC_PIPELINE/Haloplex/Haloplex 21-06-2013	/scratch/project/pipelines/ngs_testrun	/scratch/project/pipelines/workspace_public/git_projects/pipelines/ngs/molpath_ngs	10m
